id,genres
0,drama
1,drama thriller
2,drama
3,drama
4,crime thriller
5,drama romance
6,drama
7,drama
8,drama
9,drama
10,drama
11,drama
12,drama
13,action thriller
14,drama
15,drama
16,drama
17,drama
18,thriller
19,crime thriller
20,drama
21,action thriller
22,drama thriller
23,drama
24,drama
25,comedy drama
26,drama
27,drama
28,drama
29,comedy drama
30,crime drama
31,drama
32,crime thriller
33,action sci-fi
34,drama thriller
35,drama
36,drama
37,crime thriller
38,drama
39,drama
40,drama
41,drama
42,drama
43,drama
44,comedy drama
45,drama
46,drama
47,drama
48,action thriller
49,drama
50,horror thriller
51,drama
52,drama
53,drama thriller
54,drama
55,drama
56,drama
57,drama
58,drama
59,comedy romance
60,drama
61,drama
62,thriller
63,drama thriller
64,drama
65,drama
66,comedy thriller
67,drama
68,crime thriller
69,crime thriller
70,drama
71,drama
72,drama
73,drama
74,drama
75,action thriller
76,comedy
77,drama
78,drama
79,drama romance
80,drama
81,drama thriller
82,drama romance
83,crime thriller
84,comedy romance
85,drama romance
86,horror thriller
87,comedy drama
88,drama
89,drama
90,crime thriller
91,drama
92,drama thriller
93,drama
94,drama
95,drama
96,drama
97,drama
98,comedy thriller
99,drama
100,comedy romance
101,drama
102,drama
103,action thriller
104,drama
105,drama
106,mystery thriller
107,drama
108,drama
109,comedy
110,comedy drama
111,drama
112,drama
113,drama romance
114,crime drama
115,drama
116,biography drama
117,drama
118,crime thriller
119,comedy drama
120,drama
121,drama
122,comedy
123,drama
124,drama
125,drama
126,drama
127,comedy
128,drama
129,drama
130,comedy drama
131,drama
132,comedy drama
133,drama
134,drama
135,drama
136,comedy drama
137,drama
138,drama
139,drama
140,drama
141,drama
142,crime thriller
143,drama
144,drama
145,drama
146,drama
147,drama
148,drama
149,drama thriller
150,comedy romance
151,drama romance
152,drama
153,drama
154,mystery thriller
155,comedy drama
156,drama
157,drama
158,drama
159,drama
160,drama
161,comedy drama
162,drama
163,drama romance
164,comedy drama
165,drama
166,drama
167,drama romance
168,comedy drama
169,drama
170,comedy drama
171,comedy drama
172,drama
173,drama
174,drama
175,drama
176,drama
177,drama thriller
178,drama
179,drama
180,drama
181,crime drama
182,drama
183,comedy drama
184,drama
185,drama
186,drama
187,drama
188,drama
189,drama romance
190,drama
