id,genres
0,drama
1,drama
2,drama
3,drama
4,crime thriller
5,drama romance
6,drama
7,drama
8,drama
9,drama
10,drama
11,action thriller
12,drama
13,action thriller
14,drama
15,drama
16,drama
17,drama
18,mystery thriller
19,drama
20,drama
21,thriller
22,drama thriller
23,drama
24,drama
25,drama
26,drama
27,drama
28,drama
29,comedy drama
30,crime thriller
31,drama
32,crime thriller
33,action sci-fi
34,drama thriller
35,drama
36,drama
37,crime thriller
38,drama
39,drama
40,drama
41,drama
42,comedy drama
43,drama
44,comedy drama
45,comedy drama
46,drama
47,drama
48,action thriller
49,drama
50,horror thriller
51,drama
52,drama
53,drama romance
54,drama
55,drama
56,drama
57,drama
58,drama
59,comedy romance
60,drama
61,drama
62,drama
63,drama thriller
64,drama
65,comedy drama
66,crime thriller
67,drama
68,drama
69,crime thriller
70,drama
71,drama
72,drama romance
73,drama
74,comedy drama
75,drama
76,comedy
77,comedy
78,drama
79,action adventure
80,drama
81,crime drama
82,drama romance
83,crime thriller
84,comedy romance
85,drama romance
86,horror thriller
87,comedy drama
88,drama
89,crime thriller
90,crime thriller
91,drama thriller
92,drama thriller
93,drama
94,drama
95,drama
96,drama
97,drama
98,comedy
99,drama
100,comedy romance
101,drama
102,drama
103,action thriller
104,drama romance
105,drama
106,mystery thriller
107,drama
108,comedy drama
109,action thriller
110,comedy drama
111,action thriller
112,drama thriller
113,crime thriller
114,crime drama
115,drama
116,drama
117,drama
118,drama
119,comedy drama
120,drama
121,drama
122,comedy
123,comedy drama
124,drama
125,drama
126,drama
127,comedy
128,drama
129,thriller
130,comedy drama
131,drama
132,comedy drama
133,drama
134,drama
135,drama
136,comedy drama
137,comedy romance
138,drama
139,drama
140,drama
141,drama
142,drama
143,drama
144,drama
145,comedy romance
146,drama
147,drama
148,drama
149,action sci-fi
150,drama
151,drama
152,drama
153,drama
154,mystery thriller
155,drama
156,drama
157,drama
158,drama
159,comedy romance
160,drama
161,comedy drama
162,comedy
163,comedy romance
164,comedy drama
165,drama
166,drama
167,drama romance
168,comedy drama
169,drama
170,comedy drama
171,comedy drama
172,thriller
173,drama
174,drama
175,drama
176,comedy
177,mystery thriller
178,drama
179,crime thriller
180,drama
181,crime drama
182,drama
183,comedy drama
184,drama
185,drama
186,drama
187,drama romance
188,drama
189,drama romance
190,drama
191,drama
192,crime thriller
193,crime thriller
194,comedy drama
195,action thriller
196,drama
197,drama
198,drama
199,drama
200,crime thriller
201,drama
202,drama
203,drama
204,crime thriller
205,drama romance
206,drama
207,drama
208,drama
209,comedy romance
210,drama
211,drama thriller
212,drama
213,drama thriller
214,drama
215,comedy drama
216,comedy romance
217,drama
218,drama
219,crime thriller
220,drama
221,action thriller
222,mystery thriller
223,crime drama
224,drama
225,drama
226,drama
227,crime thriller
228,drama
229,drama
230,drama
231,drama
232,drama
233,drama
234,mystery thriller
235,crime thriller
236,drama
237,action thriller
238,drama
239,drama
240,drama romance
241,crime thriller
242,drama
243,drama
244,drama romance
245,drama
246,drama romance
247,drama
248,horror thriller
249,comedy drama
250,drama
251,drama
252,comedy romance
253,comedy drama
254,comedy romance
255,drama romance
256,drama
257,comedy drama
258,crime drama
259,drama
