,id,genres
0,0,['drama']
1,1,['drama']
2,2,['drama']
3,3,['drama']
4,4,"['crime', 'thriller']"
5,5,"['drama', 'romance']"
6,6,['drama']
7,7,['drama']
8,8,['drama']
9,9,['drama']
10,10,['drama']
11,11,"['action', 'thriller']"
12,12,['drama']
13,13,"['action', 'thriller']"
14,14,['drama']
15,15,['drama']
16,16,['drama']
17,17,['drama']
18,18,"['mystery', 'thriller']"
19,19,['drama']
20,20,['drama']
21,21,['thriller']
22,22,"['drama', 'thriller']"
23,23,['drama']
24,24,['drama']
25,25,['drama']
26,26,['drama']
27,27,['drama']
28,28,['drama']
29,29,"['comedy', 'drama']"
30,30,"['crime', 'thriller']"
31,31,['drama']
32,32,"['crime', 'thriller']"
33,33,"['action', 'sci-fi']"
34,34,"['drama', 'thriller']"
35,35,['drama']
36,36,['drama']
37,37,"['crime', 'thriller']"
38,38,['drama']
39,39,['drama']
40,40,['drama']
41,41,['drama']
42,42,"['comedy', 'drama']"
43,43,['drama']
44,44,"['comedy', 'drama']"
45,45,"['comedy', 'drama']"
46,46,['drama']
47,47,['drama']
48,48,"['action', 'thriller']"
49,49,['drama']
50,50,"['horror', 'thriller']"
51,51,['drama']
52,52,['drama']
53,53,"['drama', 'romance']"
54,54,['drama']
55,55,['drama']
56,56,['drama']
57,57,['drama']
58,58,['drama']
59,59,"['comedy', 'romance']"
60,60,['drama']
61,61,['drama']
62,62,['drama']
63,63,"['drama', 'thriller']"
64,64,['drama']
65,65,"['comedy', 'drama']"
66,66,"['crime', 'thriller']"
67,67,['drama']
68,68,['drama']
69,69,"['crime', 'thriller']"
70,70,['drama']
71,71,['drama']
72,72,"['drama', 'romance']"
73,73,['drama']
74,74,"['comedy', 'drama']"
75,75,['drama']
76,76,['comedy']
77,77,['comedy']
78,78,['drama']
79,79,"['action', 'adventure']"
80,80,['drama']
81,81,"['crime', 'drama']"
82,82,"['drama', 'romance']"
83,83,"['crime', 'thriller']"
84,84,"['comedy', 'romance']"
85,85,"['drama', 'romance']"
86,86,"['horror', 'thriller']"
87,87,"['comedy', 'drama']"
88,88,['drama']
89,89,"['crime', 'thriller']"
90,90,"['crime', 'thriller']"
91,91,"['drama', 'thriller']"
92,92,"['drama', 'thriller']"
93,93,['drama']
94,94,['drama']
95,95,['drama']
96,96,['drama']
97,97,['drama']
98,98,['comedy']
99,99,['drama']
100,100,"['comedy', 'romance']"
101,101,['drama']
102,102,['drama']
103,103,"['action', 'thriller']"
104,104,"['drama', 'romance']"
105,105,['drama']
106,106,"['mystery', 'thriller']"
107,107,['drama']
108,108,"['comedy', 'drama']"
109,109,"['action', 'thriller']"
110,110,"['comedy', 'drama']"
111,111,"['action', 'thriller']"
112,112,"['drama', 'thriller']"
113,113,"['crime', 'thriller']"
114,114,"['crime', 'drama']"
115,115,['drama']
116,116,['drama']
117,117,['drama']
118,118,['drama']
119,119,"['comedy', 'drama']"
120,120,['drama']
121,121,['drama']
122,122,['comedy']
123,123,"['comedy', 'drama']"
124,124,['drama']
125,125,['drama']
126,126,['drama']
127,127,['comedy']
128,128,['drama']
129,129,['thriller']
130,130,"['comedy', 'drama']"
131,131,['drama']
132,132,"['comedy', 'drama']"
133,133,['drama']
134,134,['drama']
135,135,['drama']
136,136,"['comedy', 'drama']"
137,137,"['comedy', 'romance']"
138,138,['drama']
139,139,['drama']
140,140,['drama']
141,141,['drama']
142,142,['drama']
143,143,['drama']
144,144,['drama']
145,145,"['comedy', 'romance']"
146,146,['drama']
147,147,['drama']
148,148,['drama']
149,149,"['action', 'sci-fi']"
150,150,['drama']
151,151,['drama']
152,152,['drama']
153,153,['drama']
154,154,"['mystery', 'thriller']"
155,155,['drama']
156,156,['drama']
157,157,['drama']
158,158,['drama']
159,159,"['comedy', 'romance']"
160,160,['drama']
161,161,"['comedy', 'drama']"
162,162,['comedy']
163,163,"['comedy', 'romance']"
164,164,"['comedy', 'drama']"
165,165,['drama']
166,166,['drama']
167,167,"['drama', 'romance']"
168,168,"['comedy', 'drama']"
169,169,['drama']
170,170,"['comedy', 'drama']"
171,171,"['comedy', 'drama']"
172,172,['thriller']
173,173,['drama']
174,174,['drama']
175,175,['drama']
176,176,['comedy']
177,177,"['mystery', 'thriller']"
178,178,['drama']
179,179,"['crime', 'thriller']"
180,180,['drama']
181,181,"['crime', 'drama']"
182,182,['drama']
183,183,"['comedy', 'drama']"
184,184,['drama']
185,185,['drama']
186,186,['drama']
187,187,"['drama', 'romance']"
188,188,['drama']
189,189,"['drama', 'romance']"
190,190,['drama']
191,191,['drama']
192,192,"['crime', 'thriller']"
193,193,"['crime', 'thriller']"
194,194,"['comedy', 'drama']"
195,195,"['action', 'thriller']"
196,196,['drama']
197,197,['drama']
198,198,['drama']
199,199,['drama']
200,200,"['crime', 'thriller']"
201,201,['drama']
202,202,['drama']
203,203,['drama']
204,204,"['crime', 'thriller']"
205,205,"['drama', 'romance']"
206,206,['drama']
207,207,['drama']
208,208,['drama']
209,209,"['comedy', 'romance']"
210,210,['drama']
211,211,"['drama', 'thriller']"
212,212,['drama']
213,213,"['drama', 'thriller']"
214,214,['drama']
215,215,"['comedy', 'drama']"
216,216,"['comedy', 'romance']"
217,217,['drama']
218,218,['drama']
219,219,"['crime', 'thriller']"
220,220,['drama']
221,221,"['action', 'thriller']"
222,222,"['mystery', 'thriller']"
223,223,"['crime', 'drama']"
224,224,['drama']
225,225,['drama']
226,226,['drama']
227,227,"['crime', 'thriller']"
228,228,['drama']
229,229,['drama']
230,230,['drama']
231,231,['drama']
232,232,['drama']
233,233,['drama']
234,234,"['mystery', 'thriller']"
235,235,"['crime', 'thriller']"
236,236,['drama']
237,237,"['action', 'thriller']"
238,238,['drama']
239,239,['drama']
240,240,"['drama', 'romance']"
241,241,"['crime', 'thriller']"
242,242,['drama']
243,243,['drama']
244,244,"['drama', 'romance']"
245,245,['drama']
246,246,"['drama', 'romance']"
247,247,['drama']
248,248,"['horror', 'thriller']"
